"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","21","2","2","1","28.680666","0","2"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","2","2","1","2.047839","0","2"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","21","30","1","1","33.937916","0","231"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","21","2","2","1","2.054941","0","2"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","2","2","1","1.899228","0","2"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","2","2","1","1.852139","0","3"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","21","15","3","1","19.798546","0","75"
"/OculusVR/Materials/touchController_mat.touchController_mat","21","30","1","1","33.722542","0","262"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","21","2","2","1","1.747105","0","2"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","21","2","2","1","1.866103","0","2"
"/OpenXR/Devices/M_XRController.M_XRController","21","15","16","2","17.873396","0","88"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","21","4","4","1","3.785902","0","4"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","21","44","1","1","91.467018","0","485"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","21","104","1","1","185.694443","0","2460"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","21","195","8","1","135.487167","0","3140"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","21","75","4","1","75.469589","0","1401"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","21","240","2","1","268.320160","0","10218"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","21","2","2","1","1.887009","0","2"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","21","27","9","2","25.768330","0","111"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","21","2","2","1","2.710032","0","2"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","21","2","2","1","1.712661","0","2"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","30","1","1","37.150784","0","254"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","21","2","2","1","1.626414","0","2"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","21","2","2","1","2.373954","0","2"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","21","0","26","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","15","1","1","19.525291","0","71"
"/Engine/VREditor/TransformGizmo/Main.Main","21","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","21","0","51","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","21","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","21","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","21","0","4","1","0.000000","0","0"
